datetime,Energy(Kwh),Speed(m/s),Direction
2019-05-01T00:10:00,"0,47","3,44",15
2019-05-01T00:20:00,"6,20","3,57",19
2019-05-02T00:20:00,"0,10","3,44",12
2019-05-03T00:20:00,"0,56","3,09",28
2019-05-04T00:20:00,"0,33","3,38",23
2019-05-05T00:20:00,"0,00","3,40",10
2019-05-06T00:20:00,"0,00","3,10",4
2019-05-07T00:20:00,"0,00","3,34",1
2019-05-08T00:20:00,"0,00","3,04",2
2019-05-09T00:20:00,"0,00","2,80",14
2019-05-10T00:20:00,"0,00","3,50",8
2019-05-11T00:20:00,"0,00","3,25",5
2019-05-12T00:20:00,"0,00","2,65",15
2019-05-13T00:20:00,"0,00","2,77",14
2019-05-14T00:20:00,"0,00","2,50",26
2019-05-15T00:20:00,"0,00","2,28",28
2019-05-16T00:20:00,"0,00","2,67",27
2019-05-17T00:20:00,"0,00","2,19",34
2019-05-18T00:20:00,"0,00","3,05",24
2019-05-19T00:20:00,"0,00","2,60",359
2019-05-20T00:20:00,"0,00","2,89",5
2019-05-21T00:20:00,"0,00","3,41",5
2019-05-22T00:20:00,"0,00","2,79",341
2019-05-23T00:20:00,"0,00","2,27",353
2019-05-24T00:20:00,"0,00","2,55",337
2019-05-25T00:20:00,"0,00","2,17",0
2019-05-26T00:20:00,"0,00","2,80",13
2019-05-27T00:20:00,"0,04","3,17",10
2019-05-28T00:20:00,"0,03","3,75",9
2019-05-29T00:20:00,"12,25","4,93",7
2019-05-30T00:20:00,"17,05","5,23",7
2019-05-31T00:20:00,"1,85","4,43",11
2019-06-01T00:20:00,"0,03","4,46",10
2019-06-02T00:20:00,"0,76","4,18",10
2019-06-03T00:20:00,"6,11","4,89",10
2019-06-04T00:20:00,"36,47","5,47",8
2019-06-05T00:20:00,"3,08","4,90",6
2019-06-06T00:20:00,"31,59","5,30",2
2019-06-07T00:20:00,"1,89","4,45",353
2019-06-08T00:20:00,"0,73","3,88",357
2019-06-09T00:20:00,"6,47","4,27",359
2019-06-10T00:20:00,"3,78","4,46",2
2019-06-11T00:20:00,"42,44","5,47",7
2019-06-12T00:20:00,"164,62","6,41",8
2019-06-13T00:20:00,"161,58","6,78",7
2019-06-14T00:20:00,"149,44","6,70",8
2019-06-15T00:20:00,"134,05","6,56",6
2019-06-16T00:20:00,"95,77","6,88",8
2019-06-17T00:20:00,"45,81","5,76",5
2019-06-18T00:20:00,"46,98","5,61",8
2019-06-19T00:20:00,"95,55","6,13",10
2019-06-20T00:20:00,"113,48","5,25",15
2019-06-21T00:20:00,"188,02","4,81",19
2019-06-22T00:20:00,"183,63","4,63",28
2019-06-23T00:20:00,"249,45","5,43",30
2019-06-24T00:20:00,"219,18","5,42",32
2019-06-25T00:20:00,"228,86","5,52",31
2019-06-26T00:20:00,"162,29","4,82",23
2019-06-27T00:20:00,"187,40","4,58",28
2019-06-28T00:20:00,"267,57","5,03",19
2019-06-29T00:20:00,"349,34","5,24",31
2019-06-30T00:20:00,"155,76","5,09",28
2019-07-01T00:20:00,"157,24","5,20",17
2019-07-02T00:20:00,"220,40","5,10",23
2019-07-03T00:20:00,"119,92","4,77",25
2019-07-04T00:20:00,"187,48","5,71",17
2019-07-05T00:20:00,"99,48","5,28",15
2019-07-06T00:20:00,"40,94","5,08",11
2019-07-07T00:20:00,"39,54","4,70",9
2019-07-08T00:20:00,"75,89","5,64",8
2019-07-09T00:20:00,"126,13","5,56",7
2019-07-10T00:20:00,"107,66","6,19",3
2019-07-11T00:20:00,"128,33","6,19",1
2019-07-12T00:20:00,"179,61","6,80",5
2019-07-13T00:20:00,"210,66","5,54",16
2019-07-14T00:20:00,"297,63","5,93",20
2019-07-15T00:20:00,"258,94","6,38",12
2019-07-16T00:20:00,"202,55","6,53",12
2019-07-17T00:20:00,"165,12","6,00",14
2019-07-18T00:20:00,"166,84","5,61",14
2019-07-19T00:20:00,"151,80","4,88",16
2019-07-20T00:20:00,"236,68","6,08",7
2019-07-21T00:20:00,"271,68","6,70",9
2019-07-22T00:20:00,"310,99","6,50",15
2019-07-23T00:20:00,"314,19","6,03",14
2019-07-24T00:20:00,"193,43","6,32",6
2019-07-25T00:20:00,"303,55","7,05",7
2019-07-26T00:20:00,"264,67","7,38",5
2019-07-27T00:20:00,"245,65","6,81",9
2019-07-28T00:20:00,"386,93","7,35",10
2019-07-29T00:20:00,"341,86","7,06",7
2019-07-30T00:20:00,"227,87","6,98",8
2019-07-31T00:20:00,"318,77","6,68",10
2019-08-01T00:20:00,"252,35","7,10",8
2019-08-02T00:20:00,"292,11","6,98",10
2019-08-03T00:20:00,"256,75","6,09",15
2019-08-04T00:20:00,"330,75","6,86",15
2019-08-05T00:20:00,"233,59","6,20",10
2019-08-06T00:20:00,"224,89","7,50",4
2019-08-07T00:20:00,"217,97","6,15",14
2019-08-08T00:20:00,"431,92","6,65",16
2019-08-09T00:20:00,"369,60","6,40",13
2019-08-10T00:20:00,"351,62","7,30",8
2019-08-11T00:20:00,"424,95","7,41",11
2019-08-12T00:20:00,"437,00","7,11",12
2019-08-13T00:20:00,"393,49","6,46",11
2019-08-14T00:20:00,"293,33","5,47",17
2019-08-15T00:20:00,"396,79","6,06",29
2019-08-16T00:20:00,"299,08","5,72",23
2019-08-17T00:20:00,"332,93","5,72",14
2019-08-18T00:20:00,"330,15","5,81",17
2019-08-19T00:20:00,"343,27","5,75",18
2019-08-20T00:20:00,"341,99","5,38",20
2019-08-21T00:20:00,"372,81","5,54",25
2019-08-22T00:20:00,"283,45","5,12",20
2019-08-23T00:20:00,"333,09","5,35",26
2019-08-24T00:20:00,"331,27","5,25",25
2019-08-25T00:20:00,"409,70","5,88",23
2019-08-26T00:20:00,"557,08","5,73",26
2019-08-27T00:20:00,"554,05","5,85",29
2019-08-28T00:20:00,"425,93","6,01",30
2019-08-29T00:20:00,"463,12","5,38",30
2019-08-30T00:20:00,"446,36","5,69",29
2019-08-31T00:20:00,"526,66","6,66",37
2019-09-01T00:20:00,"552,29","6,70",37
2019-09-02T00:20:00,"513,80","6,26",38
2019-09-03T00:20:00,"472,32","6,00",42
2019-09-04T00:20:00,"458,35","5,75",38
2019-09-05T00:20:00,"430,82","6,14",37
2019-09-06T00:20:00,"424,71","5,59",31
2019-09-07T00:20:00,"434,77","5,67",30
2019-09-08T00:20:00,"451,06","5,78",33
2019-09-09T00:20:00,"453,53","5,73",32
2019-09-10T00:20:00,"415,22","6,71",41
2019-09-11T00:20:00,"521,05","6,86",45
2019-09-12T00:20:00,"602,78","7,26",41
2019-09-13T00:20:00,"625,70","6,85",37
2019-09-14T00:20:00,"641,72","6,37",34
2019-09-15T00:20:00,"706,22","6,61",35
2019-09-16T00:20:00,"773,05","7,57",39
2019-09-17T00:20:00,"661,71","6,89",35
2019-09-18T00:20:00,"986,66","8,17",36
2019-09-19T00:20:00,"955,38","7,37",33
2019-09-20T00:20:00,"882,99","7,48",35
2019-09-21T00:20:00,"806,21","7,10",35
2019-09-22T00:20:00,"901,54","7,80",40
2019-09-23T00:20:00,"780,07","7,59",38
2019-09-24T00:20:00,"673,81","7,04",37
2019-09-25T00:20:00,"639,75","7,30",36
2019-09-26T00:20:00,"650,57","7,01",35
2019-09-27T00:20:00,"659,20","6,70",36
2019-09-28T00:20:00,"672,12","6,91",37
2019-09-29T00:20:00,"706,46","6,86",33
2019-09-30T00:20:00,"740,36","7,00",35
2019-10-01T00:20:00,"771,12","6,92",36
2019-10-02T00:20:00,"709,08","6,71",38
2019-10-03T00:20:00,"714,22","7,08",37
2019-10-04T00:20:00,"804,46","7,68",38
2019-10-05T00:20:00,"781,41","7,73",39
2019-10-06T00:20:00,"756,34","6,85",36
2019-10-07T00:20:00,"735,65","7,13",36
2019-10-08T00:20:00,"805,75","7,42",35
2019-10-09T00:20:00,"766,77","7,04",37
2019-10-10T00:20:00,"713,80","7,28",43
2019-10-11T00:20:00,"622,97","7,31",42
2019-10-12T00:20:00,"606,39","6,31",33
2019-10-13T00:20:00,"654,64","6,10",32
2019-10-14T00:20:00,"707,40","6,36",33
2019-10-15T00:20:00,"794,35","6,78",35
2019-10-16T00:20:00,"868,81","7,67",36
2019-10-17T00:20:00,"916,44","8,17",40
2019-10-18T00:20:00,"883,78","6,85",47
2019-10-19T00:20:00,"959,20","6,86",49
2019-10-20T00:20:00,"1.105,74","7,14",53
2019-10-21T00:20:00,"1.018,97","6,39",53
2019-10-22T00:20:00,"892,38","7,29",44
2019-10-23T00:20:00,"835,43","7,95",42
2019-10-24T00:20:00,"812,95","7,49",44
2019-10-25T00:20:00,"913,02","7,64",48
2019-10-26T00:20:00,"780,43","7,23",45
2019-10-27T00:20:00,"733,96","6,90",41
2019-10-28T00:20:00,"742,77","7,01",41
2019-10-29T00:20:00,"854,60","7,64",41
2019-10-30T00:20:00,"843,63","7,39",39
2019-10-31T00:20:00,"947,20","7,26",43
2019-11-01T00:20:00,"939,24","7,49",44
2019-11-02T00:20:00,"922,09","8,40",44
2019-11-03T00:20:00,"915,09","8,35",43
2019-11-04T00:20:00,"792,96","7,87",40
2019-11-05T00:20:00,"743,49","7,93",43
2019-11-06T00:20:00,"661,28","6,83",46
2019-11-07T00:20:00,"777,85","7,64",44
2019-11-08T00:20:00,"879,67","7,42",45
2019-11-09T00:20:00,"817,13","7,12",45
2019-11-10T00:20:00,"782,82","7,64",46
2019-11-11T00:20:00,"933,12","7,31",59
2019-11-12T00:20:00,"742,72","6,94",51
2019-11-13T00:20:00,"958,66","7,26",58
2019-11-14T00:20:00,"1.114,01","8,23",65
2019-11-15T00:20:00,"1.117,75","7,17",61
2019-11-16T00:20:00,"1.311,30","8,23",58
2019-11-17T00:20:00,"1.451,71","9,32",61
2019-11-18T00:20:00,"1.346,10","8,31",56
2019-11-19T00:20:00,"1.318,40","7,44",59
2019-11-20T00:20:00,"1.208,07","7,44",60
2019-11-21T00:20:00,"1.234,52","7,43",60
2019-11-22T00:20:00,"1.316,96","8,52",53
2019-11-23T00:20:00,"1.339,62","7,80",59
2019-11-24T00:20:00,"1.222,18","7,48",64
2019-11-25T00:20:00,"1.166,73","7,14",56
2019-11-26T00:20:00,"1.175,79","7,53",62
2019-11-27T00:20:00,"1.157,84","7,31",65
2019-11-28T00:20:00,"1.130,14","7,51",48
2019-11-29T00:20:00,"1.305,86","9,01",48
2019-11-30T00:20:00,"1.300,85","7,73",49
2019-12-01T00:20:00,"1.223,16","8,48",44
2019-12-02T00:20:00,"1.218,46","8,33",62
2019-12-03T00:20:00,"1.249,82","8,65",49
2019-12-04T00:20:00,"1.086,40","7,31",60
2019-12-05T00:20:00,"1.086,94","8,03",70
2019-12-06T00:20:00,"962,45","8,10",69
2019-12-07T00:20:00,"941,27","8,04",80
2019-12-08T00:20:00,"941,14","7,68",68
2019-12-09T00:20:00,"921,42","6,74",62
2019-12-10T00:20:00,"829,15","7,27",46
2019-12-11T00:20:00,"847,54","5,90",55
2019-12-12T00:20:00,"933,42","7,02",36
2019-12-13T00:20:00,"1.078,27","7,62",43
2019-12-14T00:20:00,"1.027,25","8,11",44
2019-12-15T00:20:00,"1.132,35","8,76",41
2019-12-16T00:20:00,"1.124,42","8,90",40
2019-12-17T00:20:00,"1.104,92","8,45",39
2019-12-18T00:20:00,"1.045,89","8,61",37
2019-12-19T00:20:00,"956,06","7,60",50
2019-12-20T00:20:00,"934,95","7,93",47
2019-12-21T00:20:00,"978,63","6,95",49
2019-12-22T00:20:00,"898,52","7,64",44
2019-12-23T00:20:00,"955,76","6,67",52
2019-12-24T00:20:00,"1.041,91","7,52",45
2019-12-25T00:20:00,"989,79","7,90",45
2019-12-26T00:20:00,"1.132,82","7,34",54
2019-12-27T00:20:00,"1.100,32","8,30",41
2019-12-28T00:20:00,"1.231,13","7,77",37
